City,PG Name,Nearby College,Address,Rent (INR/Month),Room Type,Amenities,Distance to College (km),Rating,Reviews,Contact,Nearby Companies,Nearby Locations,PG Type,Vacancy Status,Meals Included,Meal Charges,Electricity Charges,Room Size (sq.ft),Public Transport Access,Gym,Wi-Fi Speed,Payment Frequency,Advance Payment Required,Security Features,Social Events
Erode,Ortiz and Sons,Erode Arts and Science College,"402 Mcgee Grove
Carrton, SC 15631",7181,Double,"AC, Laundry, Parking",4.029551512818209,4.926375532104107,Free officer week begin power side international.,001-567-872-8001,"Hawkins, Hunt and Taylor",Lake Christianton,Male-only,Available,No,0,Included,103,5 min walk to bus stop,No,Unlimited,Quarterly,Yes,Security Guard,Yes
Coimbatore,Mclean-Williams,Tamil Nadu Agricultural University,"98069 Vasquez Trail Suite 087
North Ryanton, TN 65856",14549,Double,"AC, Laundry, Parking",3.9307337353072693,3.8077300865326893,Money customer real so.,001-685-694-5223x2547,Atkins and Sons,South Brady,Female-only,Available,Yes,2003,Included,112,5 min walk to bus stop,No,50 Mbps,Monthly,Yes,CCTV,Yes
Erode,Gallagher-Perez,Erode Arts and Science College,"77425 Katherine Lake
Laurenmouth, NV 57739",12484,Single,"AC, Laundry, Parking",2.319256906008914,4.957855583990394,Enough nearly foreign collection particularly several report.,468-973-7517,Morris and Sons,South Ryan,Female-only,Not Available,No,0,Included,166,5 min walk to bus stop,Yes,50 Mbps,Monthly,No,Security Guard,No
Madurai,"Silva, Wood and Nguyen",VIT Madurai,"88522 Joshua Vista Apt. 968
Port Vincenthaven, CA 35532",13612,Shared,"Wi-Fi, AC, Laundry, Kitchen",2.639636394502976,4.3573970794680585,Value entire often.,001-255-058-5913x36513,Thomas-Howard,Watsonfurt,Female-only,Not Available,Yes,2771,Included,200,Near metro station,Yes,100 Mbps,Monthly,No,CCTV,Yes
Erode,Stevens LLC,The Gandhigram Rural Institute,"9493 Eugene Knoll Apt. 316
Caitlinbury, VA 40344",13335,Shared,"Wi-Fi, Laundry",1.8540443481815858,4.359181386449809,See expert serious reach continue kitchen cup product.,+1-223-659-3572x4188,Ponce-Robertson,Christinaport,Female-only,Not Available,Yes,1021,Not Included,129,Near metro station,No,100 Mbps,Monthly,No,CCTV,No
Madurai,Aguilar PLC,Tamil Nadu Medical University,"7711 Jennifer Mill Suite 840
Kevinland, AK 09999",11746,Double,"AC, Laundry, Parking",4.86576503063839,3.5433842480071247,Chair white maintain management authority.,1621844070,Luna-Dickson,Meganbury,Male-only,Available,Yes,2816,Included,197,Near local train,Yes,Unlimited,Monthly,No,Security Guard,No
Vellore,Phillips-Smith,VIT Vellore,"85299 Mitchell Radial Apt. 371
Amyside, IA 84632",5356,Single,"Wi-Fi, Laundry",1.434742204337892,3.6212509923167273,Week letter by few.,0857866436,Edwards and Sons,South Lauren,Co-ed,Not Available,No,0,Not Included,195,Near local train,Yes,Unlimited,Monthly,Yes,Security Guard,No
Salem,Jennings Inc,Government College of Engineering Salem,"5026 Donna Lakes Apt. 861
Freemanfort, KY 05871",11851,Single,"Wi-Fi, AC, Laundry, Kitchen",2.262237593598591,3.4385158239050915,Visit check talk feeling writer those.,4411650479,"George, Green and Daugherty",New Kimberly,Male-only,Not Available,Yes,2542,Not Included,164,5 min walk to bus stop,No,50 Mbps,Quarterly,Yes,Security Guard,No
Vellore,"Phillips, Armstrong and Burton",Vellore Institute of Technology University,"39461 Hurley Lodge
Port Allisonhaven, SD 28636",9507,Double,"Wi-Fi, Laundry",2.2172457001285744,4.584923240958346,Give my surface rock lead.,072.267.8088x0752,"Paul, Caldwell and Lee",North Alexandra,Male-only,Not Available,No,0,Included,174,5 min walk to bus stop,No,100 Mbps,Quarterly,No,"CCTV, Guard at Night",Yes
Vellore,Garcia-Reyes,VIT Vellore,"539 Cody Skyway Apt. 216
Tylerport, WV 17419",14083,Shared,"AC, Laundry, Parking",2.1524056785861467,3.314935787665663,House mother other way public strong.,+1-554-018-5180x8623,Bailey-Smith,Port Jerryport,Co-ed,Available,Yes,2888,Not Included,149,Near metro station,Yes,Unlimited,Quarterly,No,CCTV,Yes
Salem,Powell Ltd,Government College of Engineering Salem,"43605 Fields Shoals
New Jonathan, VT 69951",7224,Shared,"Wi-Fi, Laundry",2.495596535611238,3.1474839344794034,Amount number nice hour.,001-061-031-7343x428,Cox LLC,West Scott,Male-only,Not Available,No,0,Included,111,5 min walk to bus stop,Yes,Unlimited,Monthly,No,"CCTV, Guard at Night",Yes
Tiruchirappalli,Vaughn-Davis,National Institute of Technology Tiruchirappalli,"054 Miller Port
Billhaven, NH 26845",10835,Double,"Wi-Fi, AC, Laundry, Kitchen",3.9588614466934344,3.9856722709036974,Spend argue management talk industry rock.,(386)535-5589,Simmons-Gray,Mooreland,Female-only,Not Available,No,0,Not Included,195,Near local train,Yes,Unlimited,Monthly,No,CCTV,Yes
Erode,Munoz Ltd,Erode Arts and Science College,"740 Schmidt Corners
Lake Leeside, OK 35754",7971,Single,"Wi-Fi, AC, Laundry, Kitchen",1.9468984767668034,3.489431941172885,Or prepare whole ten onto PM.,538-243-0166x136,Arnold PLC,Alexanderbury,Female-only,Available,No,0,Not Included,103,Near metro station,No,50 Mbps,Quarterly,No,"CCTV, Guard at Night",No
Chennai,Hayden-Vaughan,SRM Institute of Science and Technology,"949 Woods Passage
Jonesfurt, TN 92681",6789,Double,"Wi-Fi, Laundry",3.134172375786208,3.511319971068383,Pass final can popular notice.,001-379-715-8877x3849,Cardenas Group,North Nichole,Male-only,Not Available,Yes,1384,Included,111,Near local train,Yes,Unlimited,Monthly,Yes,Security Guard,No
Coimbatore,"Jackson, Haney and Reed",Coimbatore Institute of Technology,"40130 Richard Flats Suite 384
New Elizabeth, AR 15253",9653,Single,"AC, Laundry, Parking",3.856471973021329,4.304122283044829,With moment high follow.,(028)723-7081x0585,Johns-Lee,Lisaside,Female-only,Not Available,No,0,Included,161,Near metro station,No,100 Mbps,Quarterly,Yes,Security Guard,Yes
Vellore,Richmond-Carter,Vellore Institute of Technology University,"PSC 4476, Box 9430
APO AP 99612",5724,Shared,"Wi-Fi, Laundry",2.1037835321632192,4.390021480737324,Section six price day.,788-981-3630x2532,"Ross, Palmer and Hardy",East Crystalside,Male-only,Available,Yes,2821,Included,181,Near local train,No,50 Mbps,Quarterly,No,CCTV,No
Vellore,Henry Ltd,Vellore Institute of Technology University,"345 Kendra Cliff
Port Matthewshire, ID 06923",13847,Shared,"AC, Laundry, Parking",4.812787329002215,3.643406313674493,Big generation we per appear loss from.,642.686.7987x327,"Williams, Carter and Pratt",Davidbury,Female-only,Not Available,No,0,Included,106,5 min walk to bus stop,No,100 Mbps,Quarterly,No,"CCTV, Guard at Night",Yes
Chennai,Mckinney-Key,Anna University,"27298 Johnny Mission
South Davidburgh, WV 65176",10544,Double,"AC, Laundry, Parking",3.835524973825522,4.233422882581825,Too only any skill mind.,+1-720-934-2950,Dean PLC,New Michaelmouth,Female-only,Available,No,0,Included,182,5 min walk to bus stop,No,50 Mbps,Quarterly,No,CCTV,Yes
Chennai,Johnston-Olson,SRM Institute of Science and Technology,"73339 Jordan Ways Apt. 847
New Jessicastad, ME 27431",14488,Single,"Wi-Fi, AC, Laundry, Kitchen",1.1456450100877942,3.5901854906568813,Practice seat hospital car eight its more.,355.212.5772x704,Moore-Cruz,North Williamfort,Male-only,Not Available,Yes,2763,Included,103,Near metro station,Yes,Unlimited,Quarterly,No,CCTV,Yes
Salem,Patel-Braun,Dr. G.R. Damodaran College of Science,"USS Marquez
FPO AA 86860",11139,Single,"AC, Laundry, Parking",4.182670504331252,3.39965428562407,Sea pass newspaper wrong.,815-996-1983,Vaughan-Jackson,Nelsonshire,Male-only,Available,No,0,Included,178,Near local train,No,100 Mbps,Monthly,No,"CCTV, Guard at Night",No
Chennai,Garcia-Boyer,University of Madras,"20746 Powell Island
New Brettburgh, OH 46670",11342,Double,"AC, Laundry, Parking",2.093756761240934,4.218041097191909,Phone middle blue exist life door example customer.,823-625-4655,Welch Group,Marcchester,Male-only,Not Available,Yes,2549,Not Included,148,Near metro station,No,100 Mbps,Monthly,No,CCTV,Yes
Erode,Graves Ltd,The Gandhigram Rural Institute,"USS George
FPO AA 81871",9702,Double,"AC, Laundry, Parking",2.767383600800086,4.010326925328846,Large owner process under goal support.,001-696-950-0416x19950,"Briggs, Harris and Scott",Jonathanstad,Male-only,Available,No,0,Not Included,129,Near local train,No,Unlimited,Monthly,No,"CCTV, Guard at Night",No
Tiruchirappalli,Santiago-Jones,Anna University Tiruchirappalli,"155 Rodney Lakes
Port Christopher, IA 59040",11949,Single,"Wi-Fi, AC, Laundry, Kitchen",4.616724707720427,3.3069899865809855,Road able various mind beautiful lead she.,229-069-2034x156,"Burnett, Calhoun and Young",South Brandy,Female-only,Not Available,No,0,Included,145,Near local train,No,50 Mbps,Monthly,Yes,Security Guard,No
Chennai,"Powell, Knight and Wiggins",University of Madras,"PSC 8284, Box 2364
APO AP 54130",12877,Shared,"AC, Laundry, Parking",1.3229369411609144,4.474673906280464,Much can next what discussion common about.,(096)663-7844x95110,Tucker and Sons,Ericshire,Male-only,Not Available,No,0,Included,176,Near local train,Yes,50 Mbps,Monthly,Yes,CCTV,No
Tiruchirappalli,Hoffman LLC,Anna University Tiruchirappalli,"32690 Wilson Prairie Suite 213
South Danielbury, UT 42304",10750,Shared,"Wi-Fi, Laundry",4.156345825975145,4.760752015515388,Pass building show board.,787.058.6310x831,Haas-Chambers,West Tanya,Male-only,Available,No,0,Not Included,198,Near metro station,No,Unlimited,Monthly,Yes,"CCTV, Guard at Night",No
Madurai,Miller-Scott,VIT Madurai,"564 Figueroa Stream Apt. 066
Hugheston, FL 90101",10369,Single,"AC, Laundry, Parking",3.8124266714612842,4.071169074416166,Imagine drug speech man expert from.,719.658.0232,Gordon and Sons,East Seth,Male-only,Available,Yes,1770,Not Included,165,5 min walk to bus stop,No,100 Mbps,Monthly,No,"CCTV, Guard at Night",Yes
Madurai,Fuller Group,Tamil Nadu Medical University,"5762 Brewer Course
Meganmouth, OR 17446",10784,Single,"Wi-Fi, Laundry",4.639941551434088,3.8686618528307983,Contain difference conference day simply.,006-042-4984,Browning Group,Letown,Female-only,Not Available,No,0,Not Included,106,5 min walk to bus stop,Yes,100 Mbps,Quarterly,Yes,"CCTV, Guard at Night",No
Vellore,Hill and Sons,VIT Vellore,"2781 Michael Village
East Sydneyfurt, NM 28874",8003,Shared,"Wi-Fi, Laundry",4.6086302366215595,3.5559807502629646,Table man reduce cost deep actually.,543.227.4810,Nguyen-Lin,Wrighthaven,Female-only,Not Available,No,0,Not Included,142,5 min walk to bus stop,No,100 Mbps,Monthly,Yes,"CCTV, Guard at Night",No
Salem,Cowan-Tran,Government College of Engineering Salem,"021 Newman Inlet
West Gregory, TN 54232",9341,Single,"AC, Laundry, Parking",2.5127402663885006,4.817406970559708,Him side thank lot five benefit.,080.981.8508x3426,"Pearson, Carson and Ramirez",Brianview,Co-ed,Available,No,0,Not Included,142,5 min walk to bus stop,No,Unlimited,Monthly,No,"CCTV, Guard at Night",No
Erode,"Brown, Doyle and Ritter",The Gandhigram Rural Institute,"75774 Alexander Forest Apt. 490
Port Rebecca, HI 60675",10300,Single,"AC, Laundry, Parking",4.784014317805637,3.796860001185197,Break be president drop.,442-258-5519,"Nguyen, Taylor and Barnes",West Claudia,Male-only,Not Available,No,0,Included,199,Near metro station,Yes,100 Mbps,Monthly,Yes,"CCTV, Guard at Night",Yes
Madurai,Sanchez-Fisher,Madurai Kamaraj University,"029 Mccall Extensions Apt. 440
Lake Deborahmouth, MI 28566",12119,Single,"Wi-Fi, Laundry",2.8916295959390523,3.0972733777803967,Guy eye give attorney affect ask role.,001-593-195-7376x260,Jones and Sons,Alyssaside,Male-only,Available,No,0,Included,111,5 min walk to bus stop,No,Unlimited,Quarterly,No,CCTV,No
Coimbatore,Calderon-Allen,Coimbatore Institute of Technology,"097 Ryan Lane Apt. 207
Johnland, OR 62428",11999,Shared,"Wi-Fi, AC, Laundry, Kitchen",4.145380018743615,3.4800298580372413,Season education suffer appear arm why.,606-311-7631x8585,Boone Inc,Sonyaborough,Female-only,Not Available,No,0,Included,121,Near local train,Yes,100 Mbps,Monthly,Yes,"CCTV, Guard at Night",Yes
Madurai,Owen Inc,Madurai Kamaraj University,"9547 Jones Trafficway Apt. 209
West Calvinhaven, AL 83723",13023,Double,"AC, Laundry, Parking",3.72791679086409,3.340973407618364,Any concern feeling son international.,614-852-3767x722,Kim PLC,Whitechester,Co-ed,Available,Yes,2564,Included,104,Near metro station,Yes,100 Mbps,Quarterly,No,CCTV,Yes
Chennai,"Hurst, Obrien and Young",Anna University,"418 Misty Station Apt. 308
Randolphton, SC 37090",7632,Double,"Wi-Fi, AC, Laundry, Kitchen",3.0115041981285002,3.558635935356707,Military ball reality great.,(868)859-5079x98798,Garcia Ltd,Douglasburgh,Male-only,Not Available,Yes,2667,Not Included,180,5 min walk to bus stop,No,50 Mbps,Monthly,No,CCTV,Yes
Salem,"Dominguez, Mason and Atkins",Government College of Engineering Salem,"263 Michael Fall
Vargasbury, IN 16756",5629,Shared,"AC, Laundry, Parking",3.919551531785608,4.397371608069481,Here will sister.,+1-358-570-4900x585,"Russell, Shea and Page",North Michaelborough,Male-only,Available,Yes,1360,Not Included,101,5 min walk to bus stop,Yes,100 Mbps,Monthly,No,Security Guard,Yes
Vellore,Ellis-Hill,Vellore Institute of Technology University,"779 Loretta Shoals Apt. 799
Port Mark, AL 59462",5372,Double,"Wi-Fi, Laundry",1.2321227340553866,3.5959702925271615,Believe Congress enough fall dark.,114-717-5764x01166,Harrison and Sons,Lake Jacob,Co-ed,Available,No,0,Not Included,143,Near local train,Yes,Unlimited,Monthly,Yes,CCTV,Yes
Erode,Grant-White,Erode Arts and Science College,"26983 Kelly Lakes Suite 848
Garrettshire, ID 40240",6081,Single,"AC, Laundry, Parking",4.184369428974596,4.8785904584384445,Want actually minute employee establish.,001-470-882-6955x56135,Maddox-Hoffman,Port Robinstad,Co-ed,Not Available,No,0,Included,144,Near local train,Yes,Unlimited,Monthly,No,Security Guard,No
Salem,Garcia Group,Government College of Engineering Salem,"70070 Buchanan Pike Apt. 096
Lake Danny, MA 25697",6647,Single,"Wi-Fi, AC, Laundry, Kitchen",4.063863363818538,4.814465960631502,Figure herself ten election.,+1-801-023-4778x3152,Mccann and Sons,North Brianport,Male-only,Not Available,No,0,Not Included,161,5 min walk to bus stop,No,Unlimited,Quarterly,No,"CCTV, Guard at Night",No
Chennai,Gray-Boyer,VIT University,"35586 Andrew Highway
Monroefort, IA 75711",11632,Shared,"Wi-Fi, Laundry",2.010273519768138,3.0907492436476653,Consider whether movie scientist peace meeting.,104-875-7036,"Cochran, Mooney and Brown",Ballburgh,Male-only,Not Available,No,0,Not Included,146,Near local train,No,Unlimited,Monthly,No,Security Guard,Yes
Madurai,"Reed, Sullivan and Holder",Tamil Nadu Medical University,"29538 Andrew Dam
Stevechester, CA 42999",5557,Shared,"Wi-Fi, AC, Laundry, Kitchen",2.049950463144465,3.5032414483543985,Watch want someone.,001-574-903-2800x42802,Watson-Leblanc,Aaronchester,Female-only,Available,No,0,Included,124,Near local train,No,100 Mbps,Quarterly,No,"CCTV, Guard at Night",Yes
Chennai,Walters-Frazier,VIT University,"45921 Stephanie Junction
New Kevin, MN 76745",13311,Shared,"AC, Laundry, Parking",4.085785579118319,4.239625222037653,Yeah two us business energy story.,(155)937-3259x52458,"Brown, Potter and Flores",Port Dalefurt,Female-only,Not Available,No,0,Not Included,129,5 min walk to bus stop,Yes,Unlimited,Monthly,Yes,"CCTV, Guard at Night",No
Erode,Thompson and Sons,The Gandhigram Rural Institute,"220 Garcia Dale
West Tracystad, VA 10439",14956,Single,"Wi-Fi, AC, Laundry, Kitchen",4.013709691442374,3.8442104942559814,Spend modern often organization instead.,536-542-5189,Morales-Byrd,Lake Jayview,Male-only,Not Available,No,0,Included,174,Near metro station,No,Unlimited,Quarterly,No,Security Guard,No
Erode,"Murphy, Miller and Brock",The Gandhigram Rural Institute,"54787 Chang Track Suite 649
New Jerry, KS 67017",6752,Shared,"AC, Laundry, Parking",4.919351732075246,4.760788338102262,Use adult west reality career.,527.225.1752x09687,Clark Ltd,Wesleyport,Co-ed,Not Available,Yes,1181,Not Included,168,Near metro station,No,Unlimited,Monthly,No,Security Guard,No
Madurai,"Fields, Ramos and Reyes",VIT Madurai,"3560 Angel Gateway Suite 250
New Brandon, IL 88760",8526,Double,"Wi-Fi, AC, Laundry, Kitchen",4.985860954185563,3.5215126573356548,Catch raise however far describe six read.,001-617-874-7074x377,Oneill Ltd,New Peter,Co-ed,Not Available,No,0,Included,128,Near local train,No,100 Mbps,Quarterly,No,Security Guard,Yes
Coimbatore,"Bennett, Thomas and Gutierrez",Coimbatore Institute of Technology,"739 Bennett Glen Apt. 463
North Michaelborough, ND 98744",9090,Double,"Wi-Fi, Laundry",2.3991782208182277,3.332727198842047,World west rock he.,(854)089-8236,"Lara, Green and Davis",Stewartmouth,Male-only,Available,No,0,Included,181,5 min walk to bus stop,Yes,100 Mbps,Monthly,Yes,"CCTV, Guard at Night",Yes
Madurai,Baxter LLC,Madurai Kamaraj University,"73127 Brian Expressway Suite 597
Jamesburgh, FL 08100",7783,Shared,"Wi-Fi, AC, Laundry, Kitchen",2.5237112880757913,4.701245577863556,Car conference assume land each project cause.,213-532-1514x66995,Daniels Inc,Meyerburgh,Female-only,Available,Yes,2453,Included,182,5 min walk to bus stop,No,50 Mbps,Monthly,No,Security Guard,Yes
Erode,Chavez and Sons,The Gandhigram Rural Institute,"5071 Travis Isle Suite 579
Joshuaburgh, WV 27488",10872,Double,"Wi-Fi, AC, Laundry, Kitchen",2.5042518930121167,3.730871045562963,Suffer consider star become fight.,850-602-2946,"Wood, Johnson and Nichols",Timothyburgh,Male-only,Not Available,Yes,1466,Included,101,Near metro station,Yes,50 Mbps,Monthly,No,"CCTV, Guard at Night",Yes
Erode,"Curtis, Taylor and Davis",Erode Arts and Science College,"08499 White Spring Apt. 822
Anthonyland, WV 97047",5912,Shared,"AC, Laundry, Parking",2.8510493858749504,3.1854577776688595,Meeting how party adult book guess reach physical.,001-648-829-8121x576,Krause Group,Lake Kenneth,Co-ed,Available,Yes,2740,Included,137,Near metro station,No,100 Mbps,Quarterly,Yes,Security Guard,Yes
Coimbatore,Durham-Mcdonald,PSG College of Technology,"2617 Erin Causeway Apt. 538
Nealborough, MS 61813",7304,Single,"Wi-Fi, AC, Laundry, Kitchen",2.2554985607050106,3.882485122405119,Use natural rate sure collection there whatever.,(713)201-7259x6110,Smith-Velasquez,Davidmouth,Co-ed,Available,Yes,2353,Included,148,Near local train,Yes,Unlimited,Quarterly,Yes,"CCTV, Guard at Night",No
Chennai,Stafford-Jones,VIT University,"43861 Melissa Mountains Suite 566
Deanland, KY 54414",14727,Double,"AC, Laundry, Parking",1.8847911960566237,3.989758667044197,Hair the ball story actually serve stop.,001-838-698-6683,"Peters, Miller and Sims",Richardmouth,Female-only,Available,Yes,1841,Included,184,5 min walk to bus stop,Yes,Unlimited,Monthly,No,"CCTV, Guard at Night",Yes
Chennai,Davis Group,University of Madras,"97162 Michael Haven Apt. 023
West Philip, FL 62163",10637,Single,"Wi-Fi, Laundry",2.055544971357481,4.207994981248424,Time politics box about certainly difference career.,4647453699,Boyd Ltd,Tylertown,Co-ed,Not Available,No,0,Included,155,Near metro station,No,50 Mbps,Quarterly,No,Security Guard,Yes
Erode,Serrano and Sons,The Gandhigram Rural Institute,"73564 Victor Bridge Suite 141
Romanbury, LA 09499",9236,Single,"AC, Laundry, Parking",3.9151918553029934,3.1526633836935334,Shake election hear brother knowledge.,1814493638,Thomas LLC,South Kimberlymouth,Female-only,Not Available,Yes,2892,Included,119,5 min walk to bus stop,No,50 Mbps,Quarterly,Yes,Security Guard,No
Erode,Mahoney-Smith,The Gandhigram Rural Institute,"948 Daniel Canyon Apt. 269
East Larry, WI 42744",5331,Single,"AC, Laundry, Parking",2.6535232737605403,4.034066751414057,Individual majority figure raise speech particular fish.,(696)121-6531,Watts-Scott,South Brettside,Male-only,Not Available,Yes,2966,Included,121,Near metro station,No,100 Mbps,Quarterly,Yes,"CCTV, Guard at Night",Yes
Chennai,Guerrero Group,University of Madras,"04927 Bryan Skyway Apt. 345
Taylorside, CA 22465",11789,Single,"AC, Laundry, Parking",2.718920694926895,3.8806333844711665,Present effort spend child.,419.396.2479x301,"Gentry, Smith and Hughes",East Scott,Female-only,Available,Yes,2803,Included,141,5 min walk to bus stop,No,100 Mbps,Quarterly,No,CCTV,Yes
Chennai,Ballard PLC,VIT University,"076 Christopher Overpass Apt. 553
North Matthewville, WY 83098",5574,Double,"Wi-Fi, Laundry",2.629912208820889,4.921858987961309,City organization memory nearly machine little drug.,(263)980-1608,Watkins-Fields,Cooleymouth,Male-only,Not Available,No,0,Not Included,124,Near metro station,No,Unlimited,Monthly,No,Security Guard,No
Erode,Hahn-Wilson,Erode Arts and Science College,"7629 Linda Shores
West Andrew, WV 01114",5379,Double,"Wi-Fi, Laundry",3.3481740514778693,4.077323051606689,Nation consumer determine character face.,(549)287-6310,Coleman-Norman,South Joshuaberg,Male-only,Not Available,No,0,Not Included,117,Near metro station,No,50 Mbps,Quarterly,No,CCTV,Yes
Tiruchirappalli,"Russell, Hunt and Beck",National Institute of Technology Tiruchirappalli,"Unit 2072 Box 6220
DPO AP 57510",5388,Single,"Wi-Fi, AC, Laundry, Kitchen",1.732223382057981,3.1995470252094105,Lawyer seat within main.,882-982-2329x74211,"Moses, Martinez and Benitez",Vanessafort,Male-only,Available,Yes,2088,Not Included,193,Near local train,Yes,100 Mbps,Quarterly,No,CCTV,Yes
Chennai,"Luna, Atkins and Miller",VIT University,"3106 Estes Spur
New Staceyshire, ME 04185",7036,Single,"Wi-Fi, AC, Laundry, Kitchen",1.1252473036704016,4.21282571322718,Everything truth officer clearly cold.,001-023-093-4312x57180,Gray LLC,East Jonathan,Female-only,Available,No,0,Included,104,Near metro station,Yes,100 Mbps,Quarterly,No,"CCTV, Guard at Night",No
Vellore,Lloyd-Perry,VIT Vellore,"537 Erica Point
Port Ronald, DC 52150",5279,Double,"AC, Laundry, Parking",3.633923765643538,4.389050516606879,Space we own than follow.,775-111-8875x67211,Koch and Sons,Port Robert,Female-only,Not Available,Yes,1502,Included,138,5 min walk to bus stop,No,Unlimited,Quarterly,Yes,"CCTV, Guard at Night",Yes
Coimbatore,Rios PLC,Coimbatore Institute of Technology,"32618 Price Walks
Lake Dianeside, ND 37169",6035,Double,"Wi-Fi, Laundry",4.2374459665098545,4.918427056562256,Science speech so truth.,0344457908,Murray Inc,Michellechester,Male-only,Not Available,No,0,Included,151,Near metro station,Yes,50 Mbps,Quarterly,Yes,CCTV,Yes
Erode,Reed PLC,Erode Arts and Science College,"62156 Kristina Branch Suite 869
Amandaville, DE 82516",13254,Shared,"Wi-Fi, Laundry",1.9221826433316083,4.921341451944384,Less religious rich get me his.,279.346.4389,Smith Group,East Richardchester,Female-only,Not Available,No,0,Included,100,Near metro station,No,50 Mbps,Monthly,No,"CCTV, Guard at Night",No
Tiruchirappalli,"Gallagher, Thompson and Pearson",Anna University Tiruchirappalli,"0589 Jeanette Trail Apt. 394
West Matthewbury, NJ 33924",7640,Shared,"AC, Laundry, Parking",3.8901123579430554,3.2847845669081064,How write without easy specific.,568-530-8251,Nelson-Oconnor,Williamsberg,Male-only,Not Available,No,0,Not Included,144,5 min walk to bus stop,Yes,Unlimited,Monthly,Yes,"CCTV, Guard at Night",No
Coimbatore,Blevins and Sons,Tamil Nadu Agricultural University,"8779 Nicholas Harbor
West Michaelburgh, HI 10321",8868,Shared,"Wi-Fi, AC, Laundry, Kitchen",2.1483930058335563,3.4800775047579946,Relate party technology capital listen phone.,+1-015-141-2633,Brooks Group,Ashleyville,Female-only,Available,No,0,Not Included,112,Near local train,Yes,50 Mbps,Monthly,No,Security Guard,Yes
Coimbatore,"Scott, Gonzalez and Jones",PSG College of Technology,"31754 Jones Views Apt. 227
Estradaberg, RI 37612",11608,Single,"AC, Laundry, Parking",2.927842878139789,3.2368980696504885,Surface special fall might.,001-075-380-1827x847,Pineda-Ortiz,Allisonshire,Co-ed,Available,Yes,1373,Not Included,178,5 min walk to bus stop,No,50 Mbps,Monthly,Yes,"CCTV, Guard at Night",No
Coimbatore,Murphy-Holmes,PSG College of Technology,"713 Smith Shoals Apt. 857
Chasetown, CT 45452",9829,Single,"AC, Laundry, Parking",1.1757276968439623,3.836962048507223,Executive small draw compare including town tend air.,8107944578,Weber-Fisher,Beasleyside,Co-ed,Not Available,No,0,Included,175,Near metro station,No,100 Mbps,Quarterly,Yes,Security Guard,No
Coimbatore,"Clayton, King and Ewing",PSG College of Technology,"81797 Kimberly Mission
East David, OH 88589",9895,Single,"AC, Laundry, Parking",3.1053628051635296,3.9067349876906543,Thank series many fine public painting tough.,622-893-4858x288,"Williams, Ortiz and Mcintyre",New Jacqueline,Male-only,Available,No,0,Included,179,Near metro station,No,Unlimited,Quarterly,Yes,Security Guard,Yes
Coimbatore,"Alvarez, Williams and Glenn",Coimbatore Institute of Technology,"677 Powers Branch
Aliside, IL 41575",12576,Single,"Wi-Fi, Laundry",1.0528480914078386,3.9143547853509943,Serious usually serve great performance.,(505)047-9467x77557,"Warren, Dawson and Acevedo",Mcmahonbury,Co-ed,Not Available,No,0,Not Included,173,Near local train,No,50 Mbps,Quarterly,No,"CCTV, Guard at Night",No
Vellore,"Fisher, Arnold and Martinez",Vellore Institute of Technology University,"166 Cobb Harbor
Jeffreyfort, WI 84116",7210,Single,"Wi-Fi, Laundry",3.896664002139827,3.581666348475501,Military own position institution.,(205)737-6368x894,Hampton LLC,West Rachelview,Female-only,Not Available,Yes,1858,Not Included,172,Near metro station,Yes,Unlimited,Monthly,No,Security Guard,Yes
Coimbatore,"Harris, Miller and Delacruz",Tamil Nadu Agricultural University,"23806 Tina Rapids Suite 517
New Justin, HI 06687",12290,Single,"Wi-Fi, Laundry",2.068960461130503,4.355572301249742,Number figure owner.,(264)691-9119,"Bond, Thompson and Miller",Hudsonborough,Male-only,Available,No,0,Included,119,5 min walk to bus stop,Yes,Unlimited,Quarterly,Yes,"CCTV, Guard at Night",No
Tiruchirappalli,Carrillo PLC,Anna University Tiruchirappalli,"47406 Cruz Throughway Suite 052
Emilyton, DC 65725",9499,Double,"AC, Laundry, Parking",2.979653379610592,4.745399605684686,Home table sister prepare note.,(535)932-3138,"Thomas, Burton and Smith",Moseschester,Male-only,Not Available,Yes,2147,Not Included,189,Near local train,Yes,Unlimited,Monthly,Yes,CCTV,No
Vellore,"Smith, Burns and Perez",VIT Vellore,"87035 Duffy Place
Maryfurt, LA 76139",6224,Single,"AC, Laundry, Parking",2.452208957282479,4.52507716075547,Pm happy listen special career collection.,0903241755,Shea PLC,North Zachary,Male-only,Available,Yes,2314,Not Included,111,Near metro station,Yes,Unlimited,Monthly,No,CCTV,No
Chennai,"Russell, Harmon and Warner",SRM Institute of Science and Technology,"80304 Reeves Locks Apt. 174
Rosalesfort, WI 92497",12646,Shared,"Wi-Fi, AC, Laundry, Kitchen",2.127655384136465,3.9652784644238954,Report continue pass test daughter yourself entire.,001-963-430-2961x982,Kane-Stanley,Alejandromouth,Female-only,Available,No,0,Not Included,160,Near metro station,No,100 Mbps,Monthly,No,CCTV,Yes
